timestamp,mmsi,latitude,longitude,sog,cog,true_heading,navigational_status
2025-05-10 16:35:11.120788592 +0000 UTC,368010330,33.745305,-118.21589666666667,6,331.7,328,0
2025-05-10 16:35:11.193844721 +0000 UTC,367133910,33.765523333333334,-118.25562,0.1,176.8,323,0
2025-05-10 16:35:11.357575138 +0000 UTC,368064650,33.723755000000004,-118.279565,0,360,511,15
2025-05-10 16:35:12.101529881 +0000 UTC,366892000,33.74326166666667,-118.21478,6.2,313.3,320,0
2025-05-10 16:35:13.402802171 +0000 UTC,636022007,33.744461666666666,-118.21582666666667,6.2,326.2,337,0
2025-05-10 16:35:15.437039893 +0000 UTC,235050012,33.76291666666667,-118.24876666666667,0,162,66,5
2025-05-10 16:35:15.818389024 +0000 UTC,367754810,33.771163333333334,-118.21307,0,266,336,0
2025-05-10 16:35:19.353330743 +0000 UTC,374527000,33.750098333333334,-118.18682,0.1,0,181,5
2025-05-10 16:35:19.406980984 +0000 UTC,338602000,33.74777666666667,-118.17265333333333,0.1,311,33,15
2025-05-10 16:35:19.806134646 +0000 UTC,367754810,33.771165,-118.21306833333333,0,258.8,337,0
2025-05-10 16:35:19.987027248 +0000 UTC,351361000,33.751801666666665,-118.24099500000001,0,10.4,251,5
2025-05-10 16:35:23.649794739 +0000 UTC,367724740,33.72941333333333,-118.18597833333334,18.3,261.8,511,15
2025-05-10 16:35:25.206624275 +0000 UTC,366998840,33.763933333333334,-118.25680000000001,0,75.8,309,0
2025-05-10 16:35:26.090021196 +0000 UTC,367569830,33.76376833333333,-118.25702500000001,0,315.3,206,0
2025-05-10 16:35:26.152137118 +0000 UTC,367034320,33.761365,-118.19561166666668,0,360,511,15
2025-05-10 16:35:26.265177414 +0000 UTC,256843000,33.75510666666666,-118.27614333333332,0,242.5,331,5
2025-05-10 16:35:27.250997563 +0000 UTC,367199310,33.76307833333333,-118.19946666666667,0,234.2,511,15
2025-05-10 16:35:28.671685378 +0000 UTC,368926530,33.734098333333336,-118.26349,0,240.8,2,5
